Version,id
4.2429.11801,867561169
4.2430.11801,867770561
4.2431.11404,868106785
4.2431.11405,868216952
4.2433.11801,868271764
4.2434.11600,868448823
4.2434.11601,868542144
4.2434.11602,868763675
4.2436.11801,868823317
4.2437.11601,869000620
4.2437.11602,869077736
4.2438.11801,869099678
4.2439.11800,869307848
4.2439.11801,869443480
4.2440.11803,869492155
4.2441.11800,869655561
4.2442.11800,869825720
4.2443.11800,869957289
4.2444.11400,870111970
4.2445.11800,870275206
4.2446.11801,870458892
4.2446.11802,870598422
4.2447.11801,870624122
4.2449.11800,870932788
4.2450.11800,871075916
4.2501.11800,871615262
4.2502.11800,871839309
4.2504.11802,872163434
4.2506.11803,872329655
4.2507.11602,872456101
4.2508.11800,872699167
4.2509.11600,872863304
4.2509.11601,873036961
4.2509.11603,873040252
4.2510.11803,873068221
4.2511.1160000,873253503
4.2512.11800,873434277
4.2513.11600,873585690
4.2514.11600,873756721
4.2515.11800,873932203
4.2516.11900,874118706
4.2517.11001,874274559
