Version,id
15.19.2,867673677
15.19.3,867752047
15.20.2,868085988
15.21.3,868426092
15.21.4,868605653
15.21.5,868788225
15.22.6,868970931
15.23.2,869166002
15.24.3,869463699
15.24.4,869745072
15.26.3,869929950
15.27.3,870119048
15.27.4,870461005
16.0.6,870629984
16.0.12,870914600
16.0.13,871046849
16.1.3,871145459
16.1.5,871276525
16.2.3,871315246
16.2.4,871624611
16.3.3,871873723
16.3.5,871986231
16.4.3,872172100
16.4.5,872273935
16.5.9,872675932
16.5.12,872847981
16.6.3,873066393
16.7.2,873436116
16.7.3,873605633
16.8.4,873796178
16.9.4,873933929
16.12.3,873972112
16.12.5,874458757
16.13.4,874495110
16.14.3,875034474
16.14.4,875394858
16.15.2,875396895
16.16.3,875738373
16.16.4,875923019
16.17.2,876105886
16.17.3,876331085
16.18.3,876586682
16.19.8,876885366
16.20.8,877079380
16.21.4,877702107
